Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
135,BF_UP_1031,Wet Center UP,10/31/2025,9:02:00 AM,"ZW, TN",Stream,Baseflow,Taken straight from the mystery outflow pipe!,41.3,537,495.7,Yes,Yes,Yes,Yes,Yes,Yes,2350,-77.62,-11.26,-5.36,11/14/2025,RV_PFAS_11132025,0.013,0.508,0.027,0.783,0.898,0.299,0.275,0.023,0.007,0.064,0.208,0.112,0.245,0.05,0.188,0.114,0.27,2.808,0.786,0.294,0.074,0.011,0.012,0.004,1.419,0.074,2.27,0.678,0.022,0.026,1.387,0.008,3.083,2.029,0.697,3.44,0.221,0.037,0.082,0.127
136,WC_18,Wet Center,11/3/2025,6:00 PM,"RV, ZW",Stream,Baseflow,After storm 16,41.19,543.44,502.26,Yes,Yes,Yes,Yes,Yes,,2351,-53.98,-8.48,-3.98,6/18/2026,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.23 bdl,0.14 bdl,0.18 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.06 bdl,0.33 bdl,0.14 bdl,0.29 bdl,0.07 bdl,0.26 bdl,0.26 bdl,0.32 bdl,0.56 bdl,1.51,0.09 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.01 bdl,1.87,0.03 bdl,4.14,0.85 bdl,0.01 bdl,0.01 bdl,0.56 bdl,0.00 bdl,3.49,1.79,0.65 bdl,3.64,0.11 bdl,0.02 bdl,0.05 bdl,0.03 bdl
137,SE16_Post,Wet Center,11/4/2025,1:26 PM,"RV, ZW",Stream,Baseflow,"Quick and heavy thunderstorm the night before. ~0.17"" rain",41.34,556.6,515.26,Yes,Yes,Yes,Yes,Yes,Yes,2352,-54.16,-8.441188,-4.02,2/15/2026,RV_PFAS_02202026,0.01 bdl,0.06 bdl,0.06 bdl,0.39 bdl,0.23 bdl,0.67 bdl,0.02 bdl,0.01 bdl,0.00 bdl,0.11 bdl,0.38 bdl,0.13 bdl,0.44 bdl,0.04 bdl,0.28 bdl,0.37 bdl,0.40 bdl,2.41 bdl,1.40 bdl,0.10 bdl,0.02 bdl,0.00 bdl,0.03 bdl,0.01 bdl,1.75 bdl,0.04 bdl,3.57,0.85 bdl,0.01 bdl,0.01 bdl,0.53 bdl,0.01 bdl,3.33,1.78 bdl,0.57 bdl,3.88,0.19 bdl,0.01 bdl,0.04 bdl,0.01 bdl
138,,Wet Center,11/5/2025,2:20 PM,"RV, XG",Stream,Baseflow,,41.58,,-41.58,Yes,Yes,Yes,Yes,Yes,,2354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,WC_10,Wet Center,11/7/2025,8:54:00 AM,"RV, NA",Stream,Baseflow,,41.58,566.22,524.64,Yes,Yes,Yes,Yes,Yes,,2355,,,,6/4/2026,RV_PFAS_07082026,0.00 bdl,0.12 bdl,0.00 bdl,0.61 bdl,0.18 bdl,0.57 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.26 bdl,0.35 bdl,0.10 bdl,0.34 bdl,0.07 bdl,0.30 bdl,0.39 bdl,0.35 bdl,0.45 bdl,1.65,0.07 bdl,0.01 bdl,0.00 bdl,0.01 bdl,0.00 bdl,1.99,0.02 bdl,4.7,0.86 bdl,0.01 bdl,0.01 bdl,0.47 bdl,0.01 bdl,3.34,1.53,0.32 bdl,4.12,0.07 bdl,0.02 bdl,0.02 bdl,0.06 bdl
140,,Wet Center UP,11/7/2025,8:43:00 AM,"RV, NA",Stream,Baseflow,,41.98,,-41.98,Yes,Yes,Yes,Yes,Yes,,2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,WC_11,Wet Center,11/14/2025,8:57:00 AM,RV,Stream,Baseflow,,42.3,569.41,527.11,Yes,Yes,Yes,Yes,Yes,,2357,,,,6/4/2026,RV_PFAS_07082026,0.01 bdl,0.10 bdl,0.00 bdl,0.50 bdl,0.33 bdl,0.23 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.07 bdl,0.33 bdl,0.09 bdl,0.31 bdl,0.06 bdl,0.22 bdl,0.24 bdl,0.30 bdl,0.12 bdl,1.6,0.09 bdl,0.02 bdl,0.00 bdl,0.02 bdl,0.02 bdl,1.72,0.03 bdl,4.63,0.87 bdl,0.00 bdl,0.01 bdl,0.47 bdl,0.00 bdl,3.11,1.47,0.40 bdl,3.48,0.09 bdl,0.01 bdl,0.02 bdl,0.03 bdl
142,WC_U_1,Wet Center UP,11/14/2025,8:40:00 AM,RV,Stream,Baseflow,,42.2,555.69,513.49,Yes,Yes,Yes,Yes,Yes,,2358,,,,6/4/2026,RV_PFAS_07082026,0.00 bdl,0.07 bdl,0.00 bdl,0.95 bdl,0.32 bdl,0.03 bdl,0.04 bdl,0.00 bdl,0.01 bdl,0.15 bdl,0.29 bdl,0.12 bdl,0.38 bdl,0.07 bdl,0.31 bdl,0.30 bdl,0.32 bdl,0.55 bdl,1.87,0.07 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.01 bdl,1.88,0.05 bdl,5,0.69 bdl,0.00 bdl,0.01 bdl,0.55 bdl,0.00 bdl,3.23,1.83,0.41 bdl,3.84,0.11 bdl,0.02 bdl,0.02 bdl,0.02 bdl
143,,Equipment Blank,11/16/2025,1:00 PM,RV,MilliQ,Equipment Blank,EB on Precip Collector #2. ,41.5,555.3,513.8,,Yes,,,,Yes,,,,,11/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,Wet Center,11/21/2025,6:45:00 AM,RV,Stream,Baseflow,,,,0,Yes,Yes,Yes,Yes,Yes,,2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,Wet Center UP,11/21/2025,6:55:00 AM,RV,Stream,Baseflow,,,,,Yes,Yes,Yes,Yes,Yes,,2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,EB_PCE,Equipment Blank,11/24/2025,2:30 PM,RV,MilliQ,Equipment Blank,EB on European collector,41.7,476.9,435.2,,Yes,,,,Yes,,,,,,RV_PFAS_11132025,0.004,0.322,0.07,0.141,0.003,0.281,0.049,0.005,0.004,0.057,0.204,0.266,0.266,0.049,0.251,0.499,0.242,0.209,0.009,0.034,0.026,0.03,0,0.004,0.051,0,0.022,0.335,0.03,0.009,0.334,0.01,0.249,0.387,0.057,0.141,0,0.037,0.03,0.024
147,EB_PC1,Equipment Blank,11/24/2025,2:30 PM,RV,MilliQ,Equipment Blank,EB on Precip Collector #1,41.3,561.5,520.2,,Yes,,,,Yes,,,,,,RV_PFAS_11132025,0.001,0.059,0.04,0.102,0.031,0.191,0.041,0.005,0.001,0.023,0.154,0.108,0.183,0.051,0.168,0.348,0.172,0.267,0.016,0.019,0.034,0,0.002,0.001,0.136,0.002,1.283,0.211,0.026,0.006,0.495,0.005,0.165,0.301,0.039,0.261,0.023,0.023,0.033,0.015
143,R_N25,Roaring,11/15/2025,10:42 AM,"RV, XG",Stream,13-Site,,41.5,559.7,518.2,Yes,Yes,Yes,Yes,Yes,Yes,2361,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.02 bdl,0.04 bdl,0.28 bdl,0.03 bdl,0.61 bdl,0.01 bdl,0.00 bdl,0.01 bdl,0.07 bdl,0.25 bdl,0.12 bdl,0.25 bdl,0.06 bdl,0.15 bdl,0.30 bdl,0.21 bdl,0.40 bdl,0.18 bdl,0.05 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.01 bdl,0.20 bdl,0.05 bdl,0.22 bdl,0.46 bdl,0.01 bdl,0.00 bdl,0.29 bdl,0.00 bdl,0.56 bdl,0.56 bdl,0.32 bdl,0.22 bdl,0.01 bdl,0.02 bdl,0.04 bdl,0.02 bdl
144,D_N25,Doolittle,11/15/2025,10:48 AM,"RV, XG",Stream,13-Site,,41.4,547.5,506.1,Yes,Yes,Yes,Yes,Yes,Yes,2362,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.09 bdl,0.04 bdl,0.31 bdl,0.03 bdl,0.47 bdl,0.04 bdl,0.00 bdl,0.00 bdl,0.11 bdl,0.12 bdl,0.07 bdl,0.12 bdl,0.04 bdl,0.08 bdl,0.23 bdl,0.11 bdl,1.14 bdl,0.40 bdl,0.06 bdl,0.03 bdl,0.02 bdl,0.02 bdl,0.00 bdl,0.49 bdl,0.03 bdl,0.58 bdl,0.28 bdl,0.01 bdl,0.01 bdl,0.42 bdl,0.00 bdl,1.30 bdl,1.10 bdl,0.35 bdl,0.70 bdl,0.04 bdl,0.02 bdl,0.02 bdl,0.04 bdl
145,EU_N25,Eastman Up,11/15/2025,11:24 AM,"RV, XG",Stream,13-Site,,41.5,544.6,503.1,Yes,Yes,Yes,Yes,Yes,Yes,2363,,,,1/28/2025,RV_PFAS_02202026,0.04 bdl,5.28 bdl,0.64 bdl,29.60 bdl,0.71 bdl,31.49 bdl,0.09 bdl,0.19 bdl,0.14 bdl,0.81 bdl,0.28 bdl,4.76,12.93 bdl,1.02 bdl,9.04,10.64,11.54 bdl,4.71 bdl,2.65,0.12 bdl,0.69 bdl,1.30 bdl,0.61 bdl,0.22 bdl,2.14,0.84 bdl,1.50 bdl,5.03,0.68 bdl,0.14 bdl,6.89,0.05 bdl,12.55,10.26,0.50 bdl,3.94,0.07 bdl,0.16 bdl,0.29 bdl,0.19 bdl
146,ED_N25,Eastman Down,11/15/2025,1:08 PM,"RV, XG",Stream,13-Site,,41.3,547.9,506.6,Yes,Yes,Yes,Yes,Yes,Yes,2364,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.07 bdl,0.06 bdl,0.20 bdl,0.01 bdl,0.37 bdl,0.03 bdl,0.00 bdl,0.00 bdl,0.20 bdl,0.22 bdl,0.11 bdl,0.24 bdl,0.06 bdl,0.15 bdl,0.41 bdl,0.19 bdl,1.85 bdl,1.09 bdl,0.05 bdl,0.04 bdl,0.00 bdl,0.02 bdl,0.01 bdl,0.62 bdl,0.01 bdl,1.67 bdl,0.52 bdl,0.01 bdl,0.02 bdl,0.50 bdl,0.00 bdl,2.01,1.37 bdl,0.75 bdl,1.62 bdl,0.08 bdl,0.02 bdl,0.04 bdl,0.02 bdl
147,MS_N25,Mill site,11/15/2025,11:45 AM,"RV, XG",Stream,13-Site,,42.4,554.2,511.8,Yes,Yes,Yes,Yes,Yes,Yes,2365,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.00 bdl,0.06 bdl,0.66 bdl,0.41 bdl,0.69 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.12 bdl,0.35 bdl,0.12 bdl,0.38 bdl,0.04 bdl,0.19 bdl,0.23 bdl,0.29 bdl,2.24 bdl,1.71 bdl,0.09 bdl,0.03 bdl,0.00 bdl,0.00 bdl,0.01 bdl,1.94 bdl,0.08 bdl,4.12,0.97 bdl,0.01 bdl,0.01 bdl,0.53 bdl,0.02 bdl,3.34,1.84 bdl,0.26 bdl,3.81,0.17 bdl,0.01 bdl,0.04 bdl,0.02 bdl
148,K_N25,Knightly,11/15/2025,12:46 PM,"RV, XG",Stream,13-Site,,41.7,527.3,485.6,Yes,Yes,Yes,Yes,Yes,Yes,2366,,,,1/28/2025,RV_PFAS_03122026,0.00 bdl,0.09 bdl,0.00 bdl,0.23 bdl,0.04 bdl,0.27 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.30 bdl,0.23 bdl,0.09 bdl,0.40 bdl,0.06 bdl,0.27 bdl,0.57 bdl,0.35 bdl,73.47,30.13,0.18 bdl,0.06 bdl,0.02 bdl,0.01 bdl,0.01 bdl,124.38,0.08 bdl,212.88,2.34,0.04 bdl,0.04 bdl,2.63,0.00 bdl,303.41,1.84 bdl,0.78 bdl,189.81,0.50 bdl,0.04 bdl,0.04 bdl,0.07 bdl
149,LW_N25,Lake Warner Outlet,11/15/2025,12:26 PM,"RV, XG",Stream,13-Site,,42.2,541.8,499.6,Yes,Yes,Yes,Yes,Yes,Yes,2367,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.06 bdl,0.05 bdl,0.95 bdl,0.39 bdl,0.27 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.22 bdl,0.36 bdl,0.14 bdl,0.37 bdl,0.06 bdl,0.21 bdl,0.31 bdl,0.28 bdl,4.44 bdl,2.72,0.11 bdl,0.04 bdl,0.00 bdl,0.03 bdl,0.02 bdl,4.35,0.03 bdl,8.41,1.01 bdl,0.00 bdl,0.02 bdl,0.67 bdl,0.01 bdl,10.16,1.99 bdl,0.32 bdl,7.81,0.19 bdl,0.03 bdl,0.02 bdl,0.04 bdl
150,CD_N25,Campus Pond Down,11/15/2025,5:42 PM,"TN, KW",Stream,13-Site,,41.4,496.5,455.1,Yes,Yes,Yes,Yes,Yes,Yes,2368,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.17 bdl,0.06 bdl,0.00 bdl,0.06 bdl,1.05 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.21 bdl,0.42 bdl,0.58 bdl,0.45 bdl,0.07 bdl,0.24 bdl,0.46 bdl,0.38 bdl,5.06 bdl,4.8,0.58 bdl,0.17 bdl,0.01 bdl,0.21 bdl,0.00 bdl,3.02,0.12 bdl,5.38,2.3,0.04 bdl,0.02 bdl,1.67 bdl,0.04 bdl,7.95,5.52,1.29 bdl,5.3,0.14 bdl,0.08 bdl,0.11 bdl,0.30 bdl
151,CU_N25,Campus Pond Up,11/15/2025,6:42 PM,"TN, KW",Stream,13-Site,,42.2,520.6,478.4,Yes,Yes,Yes,Yes,Yes,Yes,2369,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.12 bdl,0.06 bdl,0.75 bdl,0.01 bdl,0.52 bdl,0.00 bdl,0.00 bdl,0.00 bdl,0.17 bdl,0.15 bdl,0.17 bdl,0.18 bdl,0.06 bdl,0.10 bdl,0.36 bdl,0.12 bdl,3.65 bdl,5.92,0.34 bdl,0.05 bdl,0.00 bdl,0.11 bdl,0.01 bdl,2.74,0.10 bdl,5.51,2.39,0.01 bdl,0.01 bdl,1.27 bdl,0.01 bdl,8.18,5.84,1.00 bdl,5.21,0.57 bdl,0.02 bdl,0.02 bdl,0.06 bdl
152,TD_N25,Tan Brook Down,11/15/2025,7:42 PM,"TN, KW",Stream,13-Site,,42.2,548.5,506.3,Yes,Yes,Yes,Yes,Yes,Yes,2370,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.10 bdl,0.05 bdl,0.49 bdl,0.01 bdl,0.44 bdl,0.02 bdl,0.01 bdl,0.00 bdl,0.12 bdl,0.35 bdl,0.26 bdl,0.39 bdl,0.06 bdl,0.20 bdl,0.35 bdl,0.30 bdl,4.59 bdl,3.82,0.28 bdl,0.05 bdl,0.00 bdl,0.13 bdl,0.01 bdl,2.92,0.11 bdl,7.15,2.52,0.01 bdl,0.02 bdl,1.26 bdl,0.02 bdl,7.9,5.52,0.73 bdl,6.51,0.43 bdl,0.04 bdl,0.03 bdl,0.05 bdl
153,HD_N25,Horse Down,11/15/2025,8:42 PM,"TN, KW",Stream,13-Site,,41.4,529.8,488.4,Yes,Yes,Yes,Yes,Yes,Yes,2371,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.13 bdl,0.07 bdl,0.60 bdl,0.01 bdl,0.84 bdl,0.00 bdl,0.01 bdl,0.01 bdl,0.11 bdl,0.41 bdl,0.12 bdl,0.48 bdl,0.07 bdl,0.29 bdl,0.36 bdl,0.41 bdl,1.98 bdl,7.66,0.10 bdl,0.01 bdl,0.00 bdl,0.02 bdl,0.01 bdl,0.67 bdl,0.02 bdl,1.67 bdl,1.23 bdl,0.02 bdl,0.00 bdl,0.67 bdl,0.03 bdl,1.93 bdl,1.84 bdl,0.63 bdl,1.51 bdl,0.25 bdl,0.03 bdl,0.01 bdl,0.05 bdl
154,HU_N25,Horse Up ,11/15/2025,9:42 PM,"TN, KW",Stream,13-Site,,42.5,532.7,490.2,Yes,Yes,Yes,Yes,Yes,Yes,2372,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.38 bdl,0.06 bdl,0.55 bdl,0.05 bdl,0.97 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.09 bdl,0.20 bdl,0.17 bdl,0.23 bdl,0.08 bdl,0.11 bdl,0.31 bdl,0.15 bdl,2.75 bdl,5.86,0.27 bdl,0.06 bdl,0.01 bdl,0.06 bdl,0.01 bdl,1.60 bdl,0.10 bdl,4.23,1.50 bdl,0.02 bdl,0.01 bdl,0.89 bdl,0.03 bdl,4.17,3.11,0.71 bdl,4.24,0.23 bdl,0.02 bdl,0.02 bdl,0.10 bdl
155,TU_N25,Tan Brook Up ,11/15/2025,10:42 PM,"TN, KW",Stream,13-Site,,41.1,515.7,474.6,Yes,Yes,Yes,Yes,Yes,Yes,2373,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.10 bdl,0.06 bdl,0.52 bdl,0.01 bdl,0.21 bdl,0.01 bdl,0.01 bdl,0.01 bdl,0.11 bdl,0.55 bdl,0.21 bdl,0.39 bdl,0.04 bdl,0.25 bdl,0.41 bdl,0.35 bdl,3.63 bdl,6.72,0.19 bdl,0.06 bdl,0.00 bdl,0.02 bdl,0.00 bdl,2.92,0.18 bdl,5.24,2.27,0.01 bdl,0.01 bdl,1.02 bdl,0.02 bdl,7.93,5.2,0.36 bdl,4.77,0.63 bdl,0.03 bdl,0.01 bdl,0.01 bdl
,B2_128,Blank,1/28/2026,,RV,MilliQ,Blank,,41.8,543.1,501.3,,,,,,Yes,,,,,,RV_PFAS_02202026,0.00 bdl,0.00 bdl,0.06 bdl,0.03 bdl,0.01 bdl,0.22 bdl,0.00 bdl,0.01 bdl,0.00 bdl,0.09 bdl,0.33 bdl,0.07 bdl,0.23 bdl,0.03 bdl,0.14 bdl,0.21 bdl,0.17 bdl,0.15 bdl,0.01 bdl,0.02 bdl,0.02 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.02 bdl,0.00 bdl,0.05 bdl,0.17 bdl,0.05 bdl,0.01 bdl,0.16 bdl,0.00 bdl,0.24 bdl,0.21 bdl,0.05 bdl,0.11 bdl,0.01 bdl,0.02 bdl,0.00 bdl,0.01 bdl
,B1_128,Blank,1/28/2026,,RV,MilliQ,Blank,"Assuming sample mass is 500g, sample was not added prior",,,500,,,,,,,,,,,,RV_PFAS_02202026,0.00 bdl,0.00 bdl,0.06 bdl,0.27 bdl,0.03 bdl,0.44 bdl,0.00 bdl,0.00 bdl,0.00 bdl,0.07 bdl,0.24 bdl,0.06 bdl,0.23 bdl,0.05 bdl,0.12 bdl,0.23 bdl,0.15 bdl,0.15 bdl,0.02 bdl,0.02 bdl,0.02 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.03 bdl,0.01 bdl,0.05 bdl,0.20 bdl,0.08 bdl,0.01 bdl,0.13 bdl,0.01 bdl,0.16 bdl,0.20 bdl,0.04 bdl,0.05 bdl,0.00 bdl,0.02 bdl,0.01 bdl,0.02 bdl
,WC_12,Wet Center,11/28/2025,12:10 PM,RV,Stream,Baseflow,,42.1,584.48,542.38,Yes,Yes,Yes,Yes,Yes,,2391,,,,6/18/2026,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.58 bdl,0.28 bdl,0.22 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.02 bdl,0.15 bdl,0.09 bdl,0.19 bdl,0.09 bdl,0.11 bdl,0.22 bdl,0.12 bdl,0.42 bdl,1.37,0.06 bdl,0.04 bdl,0.00 bdl,0.00 bdl,0.02 bdl,2.05,0.06 bdl,4.23,0.58 bdl,0.01 bdl,0.00 bdl,0.44 bdl,0.04 bdl,2.75,1.10 bdl,0.82 bdl,3.7,0.09 bdl,0.01 bdl,0.03 bdl,0.05 bdl
,,WC Upstream,11/28/2025,12:00 PM,RV,Stream,Baseflow,,41.5,,,Yes,Yes,Yes,Yes,Yes,,2392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SNO_12_2,E-Lab II,12/2/2025,4:32 PM,RV,Snow,Baseflow,Snowed 5 inches,41.2,544.8,503.6,Yes,Yes,Yes,Yes,Yes,,2393,,,,6/23/2026,RV_PFAS_07082026,Need to rerun!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_D25,Roaring,12/6/2025,10:54 AM,"TN, RV, KW, ZW",Stream,13-Site,,41.6,580.4,538.8,Yes,Yes,Yes,Yes,Yes,Yes,2405,,,,2/15/2026,RV_PFAS_02202026,0.01 bdl,0.03 bdl,0.03 bdl,0.20 bdl,0.02 bdl,0.53 bdl,0.01 bdl,0.01 bdl,0.01 bdl,0.06 bdl,0.12 bdl,0.06 bdl,0.38 bdl,0.06 bdl,0.12 bdl,0.30 bdl,0.26 bdl,0.46 bdl,0.20 bdl,0.06 bdl,0.01 bdl,0.00 bdl,0.02 bdl,0.00 bdl,0.18 bdl,0.02 bdl,0.18 bdl,0.28 bdl,0.01 bdl,0.00 bdl,0.34 bdl,0.00 bdl,0.61 bdl,0.53 bdl,0.18 bdl,0.27 bdl,0.02 bdl,0.02 bdl,0.02 bdl,0.02 bdl
,D_D25,Doolittle,12/6/2025,11:07 AM,"TN, RV, KW, ZW",Stream,13-Site,,41.7,569.4,527.7,Yes,Yes,Yes,Yes,Yes,Yes,2406,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.01 bdl,0.01 bdl,0.22 bdl,0.06 bdl,0.65 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.03 bdl,0.10 bdl,0.10 bdl,0.21 bdl,0.06 bdl,0.12 bdl,0.30 bdl,0.17 bdl,0.73 bdl,0.30 bdl,0.04 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.00 bdl,0.35 bdl,0.02 bdl,0.45 bdl,0.35 bdl,0.01 bdl,0.01 bdl,0.34 bdl,0.00 bdl,0.83 bdl,0.74 bdl,0.19 bdl,0.58 bdl,0.04 bdl,0.01 bdl,0.02 bdl,0.02 bdl
,EU_D25,Eastman Up,12/6/2025,11:31 AM,"TN, RV, KW, ZW",Stream,13-Site,,42.4,566.3,523.9,Yes,Yes,Yes,Yes,Yes,Yes,2407,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.18 bdl,0.03 bdl,0.83 bdl,0.01 bdl,0.52 bdl,0.01 bdl,0.00 bdl,0.01 bdl,0.07 bdl,0.23 bdl,0.14 bdl,0.36 bdl,0.05 bdl,0.22 bdl,0.38 bdl,0.30 bdl,1.42 bdl,0.60 bdl,0.09 bdl,0.01 bdl,0.02 bdl,0.01 bdl,0.00 bdl,0.48 bdl,0.02 bdl,0.70 bdl,0.59 bdl,0.02 bdl,0.00 bdl,0.41 bdl,0.01 bdl,1.42 bdl,0.89 bdl,0.34 bdl,0.63 bdl,0.05 bdl,0.02 bdl,0.01 bdl,0.07 bdl
,K_D25,Knightly,12/6/2025,12:05 PM,"TN, RV, KW, ZW",Stream,13-Site,,42.4,577.8,535.4,Yes,Yes,Yes,Yes,Yes,Yes,2408,,,,2/15/2026,RV_PFAS_03122026,0.00 bdl,0.02 bdl,0.00 bdl,0.51 bdl,0.03 bdl,0.27 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.24 bdl,0.30 bdl,0.15 bdl,0.37 bdl,0.05 bdl,0.26 bdl,0.24 bdl,0.30 bdl,54.51,23.39,0.11 bdl,0.01 bdl,0.00 bdl,0.02 bdl,0.00 bdl,90.13,0.03 bdl,156.7,1.67 bdl,0.02 bdl,0.02 bdl,1.98,0.00 bdl,226.78,1.38 bdl,0.15 bdl,144.27,0.34 bdl,0.02 bdl,0.04 bdl,0.02 bdl
,LW_D25,Lake Warner Outlet,12/6/2025,11:50 AM,"TN, RV, KW, ZW",Stream,13-Site,,42,568.5,526.5,Yes,Yes,Yes,Yes,Yes,Yes,2409,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.47 bdl,0.06 bdl,0.49 bdl,0.60 bdl,1.86 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.11 bdl,0.26 bdl,0.15 bdl,0.43 bdl,0.06 bdl,0.24 bdl,0.34 bdl,0.33 bdl,4.04 bdl,2.78,0.11 bdl,0.04 bdl,0.00 bdl,0.01 bdl,0.02 bdl,4.79,0.05 bdl,9.3,0.83 bdl,0.01 bdl,0.00 bdl,0.64 bdl,0.02 bdl,10.9,1.73 bdl,0.22 bdl,8.63,0.15 bdl,0.03 bdl,0.03 bdl,0.05 bdl
,MS_D25,Mill Site,12/6/2025,12:20 PM,"TN, RV, KW, ZW",Stream,13-Site,,41.6,572.8,531.2,Yes,Yes,Yes,Yes,Yes,Yes,2410,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.00 bdl,0.12 bdl,0.62 bdl,1.27 bdl,0.41 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.09 bdl,0.24 bdl,0.11 bdl,0.28 bdl,0.03 bdl,0.15 bdl,0.30 bdl,0.24 bdl,2.08 bdl,1.49 bdl,0.04 bdl,0.04 bdl,0.00 bdl,0.00 bdl,0.00 bdl,1.55 bdl,0.03 bdl,3.68,0.70 bdl,0.01 bdl,0.01 bdl,0.46 bdl,0.01 bdl,2.91,1.39 bdl,0.54 bdl,3.42 bdl,0.06 bdl,0.01 bdl,0.03 bdl,0.02 bdl
,HD_D25,Horse Down,12/6/2025,11:32 AM,"TN, RV, KW, ZW",Stream,13-Site,,41.8,520.7,478.9,Yes,Yes,Yes,Yes,Yes,Yes,2422,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.18 bdl,0.07 bdl,0.52 bdl,0.11 bdl,0.75 bdl,0.00 bdl,0.01 bdl,0.01 bdl,0.09 bdl,0.39 bdl,0.27 bdl,0.71 bdl,0.07 bdl,0.41 bdl,0.36 bdl,0.58 bdl,3.07 bdl,4.38,0.18 bdl,0.05 bdl,0.01 bdl,0.06 bdl,0.01 bdl,1.49 bdl,0.04 bdl,4.23,1.40 bdl,0.03 bdl,0.02 bdl,0.75 bdl,0.03 bdl,3.81,2.45,0.82 bdl,4.13,0.31 bdl,0.02 bdl,0.04 bdl,0.07 bdl
